,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP,TEAM_AST_TOV,AST_TOV_OPP,TEAM_LAST_3,LAST_3_OPP,LAST_3_H2H,LAST_3_PACE_H2H,LAST_3_EFG_H2H,xFQTP,xFQTP_OPP
3678,22300581,1610612762,UTA,1610612760,OKC,2023-24,27,39,2024-01-18,66,30.5,20.5,25.9,20.0,23.3,23.0,102.2,102.8,28.2,23.5,30.7,26.0,0.5986999999999999,0.5792999999999999,0.5041,0.5526,0.4091,0.3354,0.8800000000000001,0.7309,4.3,3.1,3.6,3.9,2.8,2.7,9.8,8.9,124.42,114.9,2.8340000000000005,2.673,30.666666666666668,28.666666666666668,55.333333333333336,101.06666666666666,0.5469666666666667,29.00467707903914,29.728365105330965
3679,22300580,1610612741,CHI,1610612761,TOR,2023-24,38,27,2024-01-18,65,25.5,19.5,26.3,21.5,22.5,23.3,100.0,98.8,29.0,19.5,28.9,22.5,0.5346,0.5288999999999999,0.4636,0.449,0.3522999999999999,0.4788,0.5788,0.807,2.4,4.3,3.6,3.2,1.7,1.6,8.7,9.0,101.38,117.58,2.1380000000000003,2.904,28.666666666666668,30.666666666666668,49.0,96.4777777777778,0.5222777777777777,26.264482588141377,28.05494719406209
3680,22300579,1610612764,WAS,1610612752,NYK,2023-24,22,22,2024-01-18,44,25.9,20.0,30.5,20.5,22.6,21.9,101.8,98.2,30.1,24.0,27.9,20.5,0.5221,0.6013,0.449,0.4636,0.3276,0.4088,0.665,0.6385,3.1,4.3,3.4,3.0,1.9,3.5,8.5,7.7,102.59,113.03,3.149,1.939,24.33333333333333,25.33333333333333,59.333333333333336,100.03333333333332,0.5093,29.592680297407945,28.68560885758329
3681,22300582,1610612763,MEM,1610612750,MIN,2023-24,30,30,2024-01-18,60,26.3,21.5,25.5,19.5,23.4,20.9,102.8,102.2,28.9,22.5,29.0,19.5,0.4945,0.5646,0.4225,0.5025000000000001,0.3354,0.4091,0.7309,0.8800000000000001,4.3,2.4,3.8,3.7,2.3,2.5,9.0,8.7,101.92999999999998,127.94,1.939,3.149,25.33333333333333,24.33333333333333,61.333333333333336,101.9,0.5313166666666667,26.44762521480379,28.418261872621805
3682,22300582,1610612750,MIN,1610612763,MEM,2023-24,30,30,2024-01-18,60,31.0,25.5,28.0,23.0,20.9,23.4,96.4,103.0,25.7,15.5,28.9,22.5,0.6337,0.5979,0.5526,0.5041,0.4492000000000001,0.3736,0.7405,0.4524,5.5,4.2,3.0,2.6,2.3,2.3,9.0,8.6,127.94,101.92999999999998,2.904,2.1380000000000003,34.666666666666664,30.33333333333333,61.333333333333336,101.9,0.5313166666666667,28.112870867827617,28.515528276540064
3683,22300580,1610612761,TOR,1610612741,CHI,2023-24,27,38,2024-01-18,65,30.2,24.0,29.8,21.0,21.9,22.6,99.0,101.6,28.1,21.5,31.5,22.5,0.5979,0.6337,0.5126,0.5004000000000001,0.4788,0.3522999999999999,0.6385,0.665,4.3,3.1,2.6,3.0,1.6,1.7,8.4,7.8,123.1,118.17,4.79,2.7190000000000003,30.33333333333333,34.666666666666664,49.0,96.4777777777778,0.5222777777777777,27.249835666623422,28.22413640608664
3684,22300585,1610612755,PHI,1610612753,ORL,2023-24,32,34,2024-01-19,66,29.9,21.5,27.6,17.0,23.8,22.1,101.0,97.6,27.4,18.5,26.7,16.0,0.5237999999999999,0.6142000000000001,0.4591,0.4254,0.3287,0.3445999999999999,0.7217,0.7445,6.1,4.0,2.2,3.1,2.3,2.0,8.3,8.5,118.94,115.35,4.508,2.075,32.666666666666664,32.666666666666664,52.66666666666666,103.06666666666666,0.5629833333333334,27.75696002730895,29.319082045769942
3685,22300591,1610612747,LAL,1610612751,BKN,2023-24,37,28,2024-01-19,65,29.0,18.5,30.3,20.0,23.0,23.5,103.8,101.4,29.2,24.0,29.5,23.5,0.5601,0.492,0.5057,0.4498999999999999,0.3465999999999999,0.4418,0.7169000000000001,0.6756,4.0,6.1,3.6,2.6,1.7,2.3,9.5,8.4,112.43,115.65,4.075,3.175,32.666666666666664,32.666666666666664,46.5,101.83333333333331,0.555,27.68678186253145,29.32035993530742
3686,22300588,1610612740,NOP,1610612756,PHX,2023-24,28,41,2024-01-19,69,32.0,21.0,25.3,17.0,22.1,23.8,97.6,101.8,27.5,19.0,30.4,24.5,0.6407,0.4764,0.5401999999999999,0.4489000000000001,0.4695,0.3543,0.7750999999999999,0.7938000000000001,4.3,5.1,2.8,3.2,2.6,1.4,9.3,8.0,131.77,100.87,3.138,2.6020000000000003,29.666666666666668,34.333333333333336,59.66666666666666,102.36666666666667,0.55635,30.252621275845858,29.59205425691649
3687,22300586,1610612743,DEN,1610612738,BOS,2023-24,31,32,2024-01-19,63,31.3,24.0,26.2,17.0,23.8,23.1,97.6,101.0,29.2,21.5,28.6,19.5,0.6142000000000001,0.5237999999999999,0.5385000000000001,0.4119,0.4418,0.3465999999999999,0.6756,0.7169000000000001,4.1,4.0,2.3,3.1,2.4,2.3,8.8,8.5,129.99,108.16,4.247,2.6100000000000003,34.333333333333336,29.666666666666668,61.5,102.06666666666666,0.5695666666666668,30.34263165898615,27.787721792065373
