index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST,TEAM_EFG,EFG_OPP,TEAM_FG,FG_OPP,TEAM_3P_PCT,3P_PCT_OPP,TEAM_FT_PCT,FT_PCT_OPP,TEAM_FTA,FTA_OPP,TEAM_TOV,TOV_OPP,TEAM_OREB,OREB_OPP,TEAM_DREB,DREB_OPP,TEAM_OFF_RATING,OFF_RATING_OPP
144,22201151,1610612753,ORL,1610612764,WAS,2022-23,24,32,2023-03-31,56,26.7,19.5,29.8,21.0,22.3,23.4,104.4,97.8,28.3,23.0,30.0,20.5,0.5147,0.5272,0.4567,0.5228999999999999,0.3725,0.3569999999999999,0.7474000000000001,0.8013,5.0,2.8,3.2,2.1,1.3,1.9,8.5,8.1,102.33,123.61000000000001
150,22201160,1610612743,DEN,1610612756,PHX,2022-23,20,32,2023-03-31,52,29.8,21.0,28.6,21.5,23.5,23.6,96.6,105.2,29.6,19.5,28.3,19.5,0.5716,0.5497,0.5139,0.4777999999999999,0.3359,0.3692,0.8717,0.7625,3.6,3.1,2.3,3.3,3.0,2.6,7.5,8.8,123.61000000000001,102.33
146,22201158,1610612759,SAS,1610612744,GSW,2022-23,26,23,2023-03-31,49,29.0,17.5,27.9,21.5,24.1,22.2,106.0,104.8,31.1,26.5,31.6,22.5,0.5272,0.5147,0.4574,0.5204000000000001,0.3362,0.3172,0.6674,0.5404,5.0,6.0,2.6,2.8,2.2,2.5,9.1,6.5,109.79,111.88999999999999
151,22201160,1610612756,PHX,1610612743,DEN,2022-23,32,20,2023-03-31,52,28.2,22.5,26.0,18.5,23.4,22.3,100.6,100.0,28.0,23.5,29.1,21.5,0.5094000000000001,0.5458,0.4601,0.4781000000000001,0.3459,0.2663999999999999,0.7535000000000001,0.8230999999999999,5.4,3.2,3.1,2.8,3.1,2.7,8.0,9.8,111.88999999999999,109.79
159,22201150,1610612755,PHI,1610612761,TOR,2022-23,31,30,2023-03-31,61,27.6,20.0,29.8,24.5,20.3,21.5,99.0,101.6,24.7,18.0,28.2,21.5,0.5610999999999999,0.5154,0.4844000000000001,0.4971,0.3641999999999999,0.4075,0.7979,0.6107,6.0,5.0,3.9,3.3,2.0,3.6,10.0,8.8,110.01999999999998,110.57000000000001
149,22201154,1610612739,CLE,1610612752,NYK,2022-23,47,42,2023-03-31,89,27.3,23.5,28.0,20.0,21.4,25.4,98.6,97.4,28.1,23.0,27.5,19.0,0.5613,0.5847,0.4918999999999999,0.4743,0.3936,0.3922,0.7625,0.8717,4.3,3.9,3.5,3.3,1.9,3.0,6.5,9.1,110.57000000000001,110.01999999999998
143,22201149,1610612760,OKC,1610612754,IND,2022-23,32,36,2023-03-31,68,25.7,23.0,30.6,23.0,23.3,24.3,104.6,98.2,30.0,20.5,28.3,23.0,0.4771999999999999,0.5423,0.4298999999999999,0.5386,0.2834,0.4488,0.7656,0.7589,4.8,6.6,3.3,2.3,2.0,2.0,8.8,7.5,99.1,124.28000000000002
154,22201156,1610612763,MEM,1610612746,LAC,2022-23,21,34,2023-03-31,55,32.0,26.5,27.0,19.0,24.9,20.8,102.8,95.0,27.5,19.0,28.1,23.0,0.5978,0.5912999999999999,0.5245,0.4532999999999999,0.4025,0.3575,0.6107,0.7979,2.8,5.0,2.8,3.1,3.0,1.9,9.0,8.4,124.28000000000002,99.1
152,22201155,1610612745,HOU,1610612765,DET,2022-23,31,28,2023-03-31,59,28.6,21.5,29.8,21.0,23.7,23.1,98.0,96.0,31.6,22.5,31.1,26.5,0.5385,0.6079,0.4893999999999999,0.5064,0.2663999999999999,0.3459,0.6006,0.5523,4.5,3.9,2.3,3.6,3.6,2.3,8.2,8.7,118.04,109.38
148,22201154,1610612752,NYK,1610612739,CLE,2022-23,42,47,2023-03-31,89,27.0,19.0,32.0,26.5,22.2,23.3,98.2,104.6,29.1,21.5,28.0,23.5,0.5064,0.5593999999999999,0.4412,0.4844,0.3172,0.3362,0.7281,0.7616999999999999,6.6,4.8,3.7,3.1,3.7,2.8,8.0,7.3,109.38,118.04
