index,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,SEASON,PTS_QTR1,PTS_QTR1_OPP,GAME_DATE,TOTAL_FQP,TEAM_LAST_10,TEAM_WORST_2,LAST_10_OPP,WORST_2_OPP,TEAM_FGA,FGA_OPP,TEAM_PACE,PACE_OPP,TEAM_LAST_10_AGAINST,TEAM_WORST_2_AGAINST,LAST_10_OPP_AGAINST,WORST_2_OPP_AGAINST
1784,22200339,1610612749,MIL,1610612766,CHA,2022-23,30,24,2022-12-03,54,30.1,23.0,28.1,23.5,23.2,24.0,101.2,107.0,30.1,22.0,31.2,23.5
1783,22200341,1610612750,MIN,1610612760,OKC,2022-23,29,32,2022-12-03,61,32.5,27.0,33.2,20.0,23.1,21.7,106.2,102.0,29.4,20.5,27.9,22.5
1780,22200338,1610612746,LAC,1610612758,SAC,2022-23,24,38,2022-12-03,62,27.6,15.0,26.4,16.5,21.1,24.2,98.2,98.8,27.9,22.5,29.4,20.5
1779,22200342,1610612744,GSW,1610612745,HOU,2022-23,39,23,2022-12-03,62,33.2,20.0,32.5,27.0,22.6,24.1,107.0,101.2,29.2,21.0,29.1,23.5
1774,22200337,1610612752,NYK,1610612742,DAL,2022-23,32,20,2022-12-03,52,29.7,19.5,25.7,20.5,24.2,21.1,103.2,103.8,29.1,23.5,29.2,21.0
1786,22200343,1610612757,POR,1610612762,UTA,2022-23,40,31,2022-12-03,71,26.0,21.5,29.5,21.5,22.2,21.6,96.8,106.2,28.1,22.0,28.1,22.5
1787,22200343,1610612762,UTA,1610612757,POR,2022-23,31,40,2022-12-03,71,29.0,21.5,28.4,23.0,22.5,21.8,101.6,101.8,28.1,22.5,28.1,22.0
1770,22200348,1610612752,NYK,1610612739,CLE,2022-23,23,16,2022-12-04,39,28.1,19.5,30.9,24.5,23.0,22.6,101.2,106.6,27.5,21.0,30.7,26.0
1758,22200351,1610612754,IND,1610612757,POR,2022-23,24,28,2022-12-04,52,23.2,15.0,31.0,24.0,21.6,21.3,106.6,101.2,30.7,26.0,27.5,21.0
1761,22200350,1610612741,CHI,1610612758,SAC,2022-23,27,29,2022-12-04,56,26.9,21.0,27.5,21.5,21.9,24.2,102.2,106.2,30.5,22.5,28.3,17.5
1773,22200347,1610612765,DET,1610612763,MEM,2022-23,26,40,2022-12-04,66,29.0,22.5,30.0,22.5,21.7,23.7,98.2,93.4,28.3,17.5,30.5,22.5
1759,22200351,1610612757,POR,1610612754,IND,2022-23,28,24,2022-12-04,52,27.5,21.5,26.9,21.0,22.6,23.0,98.4,103.8,27.7,22.0,27.0,20.5
1769,22200344,1610612743,DEN,1610612740,NOP,2022-23,31,27,2022-12-04,58,32.0,25.0,29.0,22.5,22.3,24.6,100.0,102.2,27.0,20.5,27.7,22.0
1771,22200348,1610612739,CLE,1610612752,NYK,2022-23,16,23,2022-12-04,39,28.5,22.0,34.0,25.0,22.1,24.4,93.4,98.2,24.5,17.5,26.5,20.5
1766,22200349,1610612747,LAL,1610612764,WAS,2022-23,33,27,2022-12-04,60,29.0,22.5,32.0,25.0,23.3,23.9,104.6,101.0,26.5,20.5,24.5,17.5
1767,22200349,1610612764,WAS,1610612747,LAL,2022-23,27,33,2022-12-04,60,31.5,24.5,30.4,22.0,21.3,21.6,102.2,100.0,29.5,23.0,25.8,18.5
1763,22200346,1610612738,BOS,1610612751,BKN,2022-23,35,27,2022-12-04,62,34.0,25.0,28.5,22.0,23.9,23.3,106.2,102.2,25.8,18.5,29.5,23.0
1762,22200346,1610612751,BKN,1610612738,BOS,2022-23,27,35,2022-12-04,62,30.9,24.5,28.1,19.5,21.6,23.2,101.2,101.4,27.2,20.0,28.7,17.5
1768,22200344,1610612740,NOP,1610612743,DEN,2022-23,27,31,2022-12-04,58,31.2,25.0,25.8,19.5,23.2,21.6,103.4,105.6,28.7,17.5,27.2,20.0
1764,22200345,1610612759,SAS,1610612756,PHX,2022-23,30,35,2022-12-04,65,25.8,19.5,31.2,25.0,24.2,21.9,101.0,104.6,32.7,27.5,30.7,22.0
1760,22200350,1610612758,SAC,1610612741,CHI,2022-23,29,27,2022-12-04,56,31.0,24.0,23.2,15.0,23.7,21.7,105.6,103.4,30.7,22.0,32.7,27.5
1772,22200347,1610612763,MEM,1610612765,DET,2022-23,40,26,2022-12-04,66,30.4,22.0,31.5,24.5,24.6,22.3,103.8,98.4,27.7,24.0,28.6,22.0
1765,22200345,1610612756,PHX,1610612759,SAS,2022-23,35,30,2022-12-04,65,30.0,22.5,29.0,22.5,24.4,22.1,101.4,101.2,28.6,22.0,27.7,24.0
1749,22200357,1610612763,MEM,1610612748,MIA,2022-23,27,32,2022-12-05,59,31.1,22.0,26.1,16.5,24.6,23.6,104.2,101.8,27.3,24.0,32.5,16.0
1757,22200356,1610612745,HOU,1610612755,PHI,2022-23,27,30,2022-12-05,57,28.1,23.0,28.9,21.5,21.9,24.2,102.0,103.2,32.5,16.0,27.3,24.0
1746,22200355,1610612761,TOR,1610612738,BOS,2022-23,25,27,2022-12-05,52,26.9,20.5,30.1,22.0,22.0,23.3,101.0,105.2,30.5,22.5,28.5,23.0
1752,22200354,1610612737,ATL,1610612760,OKC,2022-23,29,27,2022-12-05,56,30.1,22.0,26.9,20.5,23.3,22.0,104.0,103.2,28.5,23.0,30.5,22.5
1745,22200353,1610612753,ORL,1610612749,MIL,2022-23,21,30,2022-12-05,51,28.0,23.0,22.9,15.0,21.8,22.9,103.2,100.8,29.9,22.5,28.9,21.0
1743,22200359,1610612744,GSW,1610612754,IND,2022-23,21,34,2022-12-05,55,33.8,20.0,26.9,15.0,22.9,21.8,106.6,102.2,28.9,21.0,29.9,22.5
1748,22200357,1610612748,MIA,1610612763,MEM,2022-23,32,27,2022-12-05,59,29.8,25.0,30.4,22.5,23.5,23.5,103.2,102.0,30.9,26.5,29.4,22.0
1744,22200353,1610612749,MIL,1610612753,ORL,2022-23,30,21,2022-12-05,51,30.4,23.0,29.1,21.5,23.6,24.6,101.8,104.2,29.4,22.0,30.9,26.5
1751,22200352,1610612746,LAC,1610612766,CHA,2022-23,28,26,2022-12-05,54,26.9,15.0,33.8,20.0,21.5,21.3,98.0,101.6,29.4,22.5,30.8,26.5
