index,GAME_ID,TEAM_ID,OPPONENT_TEAM_ID,EFG_PCT,EFG_PCT_OPP,PACE,PACE_OPP,AST_TOV,AST_TOV_OPP,DEF_RATING,DEF_RATING_OPP,OFF_RATING,OFF_RATING_OPP
4914,0022300066,1610612753,1610612745,0.543,0.5,98.0,98.0,1.4,0.86,83.3,116.0,116.0,83.3
4913,0022300067,1610612751,1610612739,0.543,0.761,100.0,100.0,4.0,2.67,148.0,128.0,128.0,148.0
4912,0022300067,1610612739,1610612751,0.761,0.543,100.0,100.0,2.67,4.0,128.0,148.0,148.0,128.0
4894,0022300068,1610612748,1610612765,0.357,0.711,104.0,104.0,6.0,0.89,111.5,100.0,100.0,111.5
4895,0022300068,1610612765,1610612748,0.711,0.357,104.0,104.0,0.89,6.0,100.0,111.5,111.5,100.0
4909,0022300069,1610612750,1610612761,0.413,0.44,96.0,96.0,2.0,7.0,104.2,104.2,104.2,104.2
4908,0022300069,1610612761,1610612750,0.44,0.413,96.0,96.0,7.0,2.0,104.2,104.2,104.2,104.2
4899,0022300070,1610612741,1610612760,0.636,0.63,104.0,104.0,1.5,2.33,126.9,134.6,134.6,126.9
4898,0022300070,1610612760,1610612741,0.63,0.636,104.0,104.0,2.33,1.5,134.6,126.9,126.9,134.6
4900,0022300071,1610612740,1610612763,0.5,0.478,106.0,106.0,0.8,4.0,103.7,96.2,96.2,103.7
4901,0022300071,1610612763,1610612740,0.478,0.5,106.0,106.0,4.0,0.8,96.2,103.7,103.7,96.2
4911,0022300072,1610612758,1610612762,0.58,0.4,102.0,102.0,1.75,0.83,92.3,128.0,128.0,92.3
4910,0022300072,1610612762,1610612758,0.4,0.58,102.0,102.0,0.83,1.75,128.0,92.3,92.3,128.0
4904,0022300073,1610612759,1610612742,0.75,0.652,112.0,112.0,3.67,2.0,128.6,153.6,153.6,128.6
4905,0022300073,1610612742,1610612759,0.652,0.75,112.0,112.0,2.0,3.67,153.6,128.6,128.6,153.6
4906,0022300074,1610612757,1610612746,0.37,0.563,106.0,106.0,0.29,1.5,111.5,74.1,74.1,111.5
4907,0022300074,1610612746,1610612757,0.563,0.37,106.0,106.0,1.5,0.29,74.1,111.5,111.5,74.1
4888,0022300075,1610612755,1610612749,0.526,0.643,104.0,104.0,2.0,2.25,115.4,88.5,88.5,115.4
4889,0022300075,1610612749,1610612755,0.643,0.526,104.0,104.0,2.25,2.0,88.5,115.4,115.4,88.5
4891,0022300076,1610612747,1610612756,0.37,0.538,102.0,102.0,1.0,1.5,115.4,72.0,72.0,115.4
4890,0022300076,1610612756,1610612747,0.538,0.37,102.0,102.0,1.5,1.0,72.0,115.4,115.4,72.0
4870,0022300077,1610612765,1610612766,0.667,0.386,114.0,114.0,0.78,0.57,72.4,114.3,114.3,72.4
4871,0022300077,1610612766,1610612765,0.386,0.667,114.0,114.0,0.57,0.78,114.3,72.4,72.4,114.3
4875,0022300078,1610612743,1610612763,0.5,0.32,106.0,106.0,2.0,0.83,66.7,96.2,96.2,66.7
4874,0022300078,1610612763,1610612743,0.32,0.5,106.0,106.0,0.83,2.0,96.2,66.7,66.7,96.2
4882,0022300079,1610612752,1610612737,0.643,0.565,100.0,100.0,8.0,3.0,124.0,140.0,140.0,124.0
4883,0022300079,1610612737,1610612752,0.565,0.643,100.0,100.0,3.0,8.0,140.0,124.0,124.0,140.0
