index,GAME_ID,PTS_QTR1,OPP_PTS_QTR1
1624,0022200415,27,26
1625,0022200415,26,27
1627,0022200416,22,50
1626,0022200416,50,22
1629,0022200417,23,31
1628,0022200417,31,23
1616,0022200418,28,29
1617,0022200418,29,28
1632,0022200419,31,31
1615,0022200420,39,28
1614,0022200420,28,39
1618,0022200421,19,26
1619,0022200421,26,19
1620,0022200422,31,38
1621,0022200422,38,31
1630,0022200423,21,19
1631,0022200423,19,21
1608,0022200424,29,29
1607,0022200425,33,18
1606,0022200425,18,33
1611,0022200426,25,27
1610,0022200426,27,25
1613,0022200427,29,18
1612,0022200427,18,29
1601,0022200428,24,38
1600,0022200428,38,24
1590,0022200429,29,28
1591,0022200429,28,29
1586,0022200430,32,28
1587,0022200430,28,32
1599,0022200431,29,31
1598,0022200431,31,29
1589,0022200432,33,38
1588,0022200432,38,33
1605,0022200433,29,19
1604,0022200433,19,29
1593,0022200434,32,29
1592,0022200434,29,32
1602,0022200435,30,28
1603,0022200435,28,30
1595,0022200436,31,32
1594,0022200436,32,31
1597,0022200437,32,33
1596,0022200437,33,32
1574,0022200438,28,20
1575,0022200438,20,28
1572,0022200439,28,25
1573,0022200439,25,28
1585,0022200440,29,27
1584,0022200440,27,29
1578,0022200441,27,33
1579,0022200441,33,27
1577,0022200442,22,27
1576,0022200442,27,22
1582,0022200443,21,25
1583,0022200443,25,21
1580,0022200444,27,34
1581,0022200444,34,27
1568,0022200445,23,26
1569,0022200445,26,23
1570,0022200446,29,28
1571,0022200446,28,29
1559,0022200447,21,35
1558,0022200447,35,21
1563,0022200448,36,26
1562,0022200448,26,36
1560,0022200449,34,32
1561,0022200449,32,34
1565,0022200450,25,20
1564,0022200450,20,25
1567,0022200451,30,29
1566,0022200451,29,30
1543,0022200452,29,21
1542,0022200452,21,29
1555,0022200453,23,22
1554,0022200453,22,23
1548,0022200454,27,34
1549,0022200454,34,27
1550,0022200455,35,28
1551,0022200455,28,35
1546,0022200456,21,30
1547,0022200456,30,21
1540,0022200457,27,30
1541,0022200457,30,27
1552,0022200458,28,28
1545,0022200459,38,24
1544,0022200459,24,38
1556,0022200460,30,39
1557,0022200460,39,30
1534,0022200461,31,24
1535,0022200461,24,31
1539,0022200462,31,21
1538,0022200462,21,31
1532,0022200463,25,33
1533,0022200463,33,25
1530,0022200464,30,27
1531,0022200464,27,30
1537,0022200465,35,14
1536,0022200465,14,35
1510,0022200466,20,35
1511,0022200466,35,20
1529,0022200467,37,29
1528,0022200467,29,37
1509,0022200468,30,25
1508,0022200468,25,30
1525,0022200469,22,42
1524,0022200469,42,22
1515,0022200470,46,17
1514,0022200470,17,46
1521,0022200471,28,27
1520,0022200471,27,28
1512,0022200472,25,31
1513,0022200472,31,25
